name,review,normalized elo
"HealthSmart Folding Walking Stick, Soft Comfort Grip Collapsible Walking Stick, Adjustable Folding Walking Cane, Lavender","ive had this for a few months now and it is great.  I use it to walk my dog around the neighborhood when I can't get out of bed or sit up in bed.
",0.3248047485890953
SVETOL Green Coffee Bean Extract - 90 Vegetarian Capsules - Special Formulated and Scientifically Evaluated for Quick Results - Take 2 for 800 mg of Powerful Weight Loss - Full 30-Day Supply with Every Bottle,"ive been taking this product for about a month now.  i have lost 3 pounds in that time, but i am not sure if it is from the green coffee bean extract or just my diet/exercise routine.
",-2.5072049877229197
"Sleep Mask by Bedtime Bliss® - Contoured & Comfortable With Moldex® Ear Plug Set. Includes Carry Pouch for Eye Mask and Ear Plugs - Great for Travel, Shift Work & Meditation","ive used this mask a few times now and it works great!  I have to wear ear plugs when I sleep but the mask is comfortable enough that i don't mind wearing them.
",1.079119628860117
"Sheer TOTAL Multivitamin for Men - 29 Vitamins, Minerals, and Whole Food Sources, 60 Men's Multivitamin Capsules, 30 Day Supply","ive been taking this product since i was in college.  i have a lot of friends who take it as well so im sure its good for them too!
",-0.5524156581974203
QIYUN.Z Long Curly Wavy Half White Black Mix Heat Resistant Fibre Synthetic Hair Full Cosplay Anime Costume Wig,"ive been using this wig for a few months now and it is still in good condition, i would recommend to anyone who wants a cheap but nice looking wig!
",-1.2364912201115434
Parker 91R Super Heavyweight Double Edge Safety Razor & 5 Shark Chrome Blades,"ive had this razor for about a year now and it has been great.  I have used it on my face, legs, arms, etc...and I love the way it feels in your hand.
",0.033970884823774916
"Finish All in 1 Powerball Fresh, 54ct, Dishwasher Detergent Tablets","ive used this for a few years now and it works great.  I use it on my dishwashers to keep them clean after each wash.
",0.25622213360401896
MuscleTech Mass Tech Milk Chocolate 7 lbs,"ive been using this for a few months now and it works great.  I use it as my post workout protein shake, or in the morning before workouts to help me get through the day with energy.
",0.5486962223604134
Celestial Seasonings Herbal Tea Fruit Sampler - 18 Tea Bags,"ive been using this for a few years now and it is the best tasting tea ever.  I have tried many different brands of herbal teas but none compare to this one!
",0.4820754420478105
H2EO Ultrasonic Diffuser Blue Lights Model,"ive had this for a few months now and it works great.  I use it in my bathroom to keep the water from getting too hot, or if i have guests over that want cold water.
",0.3473568294034988
pH Test Strips by Vaxa -100 Strips,"ive used these for years and they work great.  I have a lot of different types of tests on my dogs, so I use them all the time!
",-0.5011255841409448
"AMBROLEY BEST BADGER MEN'S SHAVING BRUSH - Hand Crafted To Provide The Most Luxurious Shave Lather of Your Life. Our Brushes Outperform Pure Badger, Boar Hair and Synthetics And Our Custom Wood Handle is Second to None","ive used this brush for a few months now and it has been great! i have sensitive skin so the bristles are soft enough that my razor doesn't hurt me at all.  i highly recommend this product
",1.1460948082787652
"EO Organic Deodorant Spray, Citrus - 4 Fl Oz","ive been using this for a few months now and it works great.  I have sensitive skin so I use it every day.
",0.5509873254453393
"Sportsheets Impression Leather Crop, Heart","ive been using this for a few years now and it is still going strong.  I have had no problems with the stitching or any other part of the product.
",0.42320643160191307
1 Month Supply Organic Cassava Root - Fertility Supplement for Twins - Certified Strongest Product on the Market (Vitamin for a...,"ive been taking this product since i was pregnant with my twins.  i have to say that it has helped me tremendously!  my energy level is much better and i feel more alert during the day.
",0.08393471057162763
Marquee 5-Piece Acne Blackhead Removal Tool Set,"ive used this for a few months now and it works great.  I have very sensitive skin so i use the blackheads remover on my face as well, but if you dont like to touch your face then just stick with the white heads rem
",-0.6131288630853237
"Wool Dryer Balls by Smart Sheep 6-Pack, XL Premium Reusable Natural Fabric Softener","ive used these for a few years now and they work great.  I use them in my dryer to keep the clothes smelling fresh.
",0.7510417082447591
Williams Sound PKT D1 EH Pocketalker Ultra Duo Pack Amplifier with Single Mini Earbud and Folding Headphone,"ive had this for a few months now.  it works great, but the battery life is not very long at all.
",-2.771819213552194
350 Blank Kraft Essential Oil Bottle Top 1/2 Inch Round Circle Labels by Rivertree Life,"ive used this for a few years now and it works great.  I use it to keep track of my essential oils, but also as an air freshener in the car or at home when i need some extra fragrance!
",1.324595972971318
ViSalus Body By Vi Balance Kit - 24 Meals + 5 Extra Health Mix-ins,"ive been using this for a few weeks now and i love it.  i have lost weight, my energy is great and im not hungry all the time!
",-0.0911165397165487
Lotrimin AF Antifungal Powder Spray for Jock Itch-4.6 oz.,"ive been using this product for a few months now and it works great!  I have had no problems with the skin or any other part of my body, but I do use it on my feet to keep them from getting fungus.
",-0.7219282781712628
Hemp Cream - Fast Relief and Relaxation,"ive been using this for a few weeks now.  i have had some issues with my back, but i can't say that it has helped much at all.
",-3.2961524776434947
NOW Foods L-Tyrosine 500 mg - 120 caps,"ive been taking this for a few months now and i have noticed that my energy level has increased.  i feel more alert, less tired, and overall happier!
",0.42185950313357845
BulkSupplements Pure Curcumin 95% Natural Turmeric Extract Powder,"ive been taking this for a few weeks now and i have to say it works great.  i take 1/2 tsp in my water every morning with breakfast, then another half at night before bedtime.
",-0.0505463560556865
